From,To,AvgTime
-1278964460#1,-342886913#2,6.8869690424766015
-1278964460#1,-90564601#5,28.012958963282937
-1278964460#1,-90564611#5,11.73794096472282
-1278964460#1,1278964460#0,3.6191504679625632
-1281066517,-22943166#3,13.940964722822173
-1281066517,1281066517,16.95032397408207
-1281066517,146630841,7.4931605471562275
-1281066517,22943166#5,5.5161987041036715
-1290133351,-695515422#2,1.3909287257019438
-1290133351,1290133351,4.758819294456443
-1290133351,695515422#3,3.933765298776098
-1290133352,-695515422#1,0.6205903527717782
-1290133352,1290133352,4.135349172066235
-1290133352,695515422#2,1.3909287257019438
-1290133353,-695515422#0,9.31317494600432
-1290133353,1290133353,4.378689704823614
-1290133353,695515422#1,0.6421886249100072
-1290176908,-90564601#1,1.9971202303815694
-1290176908,1290176908,4.836573074154068
-1290176908,90564601#2,0.028797696184305256
-1290199592,-1127432025,0.3412526997840173
-1290199592,1290199592,6.1137508999280055
-1290199592,1290199593,2.02735781137509
-1290199593,-1127432025,0.3412526997840173
-1290199593,1290199592,6.1137508999280055
-1290199593,1290199593,2.02735781137509
-1290205252,1290205252,2.6925845932325414
-1290205252,689960225#3,1.79124175164967
-1297690856,-22943251#5,8.16414686825054
-1297690856,1297690856,3.5637149028077753
-1297690856,22943251#6,15.195104391648668
-130819415#3,-1237215042#9,4.560756075607562
-130819415#3,130819415#0,22.581713462922966
-130819415#3,1419295055#0,1.567056705670567
-130819447,-130819415#3,22.429085673146147
-130819447,130819447,3.6054715622750177
-130819447,696521024#0,16.66234701223902
-130820266#1,-130820269#0,5.845932325413967
-130820266#1,-38434952,11.163426925845933
-130820266#1,130820266#0,12.843772498200144
-130820266#1,130820269#2,6.332613390928725
-130820269#0,130820269#0,5.845932325413967
-130820269#2,-130820269#0,5.845932325413967
-130820269#2,-38434952,11.163426925845933
-130820269#2,130820266#0,12.843772498200144
-130820269#2,130820269#2,6.332613390928725
-130820269#3,-130820269#2,6.332613390928725
-130820269#3,130820269#3,5.943844492440605
-130820269#3,38434953#0,6.660907127429805
-130820269#4,-130820269#3,5.92080633549316
-130820269#4,-23976757#1,28.485241180705543
